flare;radio_flux_10.7cm;sesc_sunspot_number;sunspot_area;goes15_xray_bkgd_flux;mwl_alpha;mwl_beta;mwl_gamma;mwl_beta_gamma;mwl_delta;mwl_beta_delta;mwl_beta_gamma_delta;mwl_gamma_delta
0;79;34;90;0.000000032;0;1;0;0;0;0;0;0
0;77;45;110;0.000000069;0;1;0;0;0;0;0;0
0;79;39;210;0.000000045;1;1;0;0;0;0;0;0
0;75;33;180;0.000000086;0;1;0;1;0;0;0;0
0;72;29;40;0.000000055;0;1;0;0;0;0;0;0
0;70;13;10;0.000000019;0;1;0;0;0;0;0;0
0;70;12;10;0.00000001;0;1;0;0;0;0;0;0
0;70;0;0;0.00000001;1;0;0;0;0;0;0;0
0;70;0;0;0.00000001;0;0;0;0;0;0;0;0
0;71;12;10;0.00000001;0;0;0;0;0;0;0;0
0;69;13;0;0.00000001;0;1;0;0;0;0;0;0
0;70;13;0;0.00000001;0;1;0;0;0;0;0;0
0;69;12;0;0.00000001;0;1;0;0;0;0;0;0
0;71;32;30;0.00000001;0;1;0;0;0;0;0;0
0;73;17;30;0.000000018;0;1;0;0;0;0;0;0
0;72;17;30;0.000000014;0;1;0;0;0;0;0;0
0;72;12;0;0.00000001;0;1;0;0;0;0;0;0
0;73;0;0;0.000000013;1;0;0;0;0;0;0;0
0;72;0;0;0.000000014;0;0;0;0;0;0;0;0
0;72;0;0;0.00000001;0;0;0;0;0;0;0;0
0;71;13;10;0.00000001;0;0;0;0;0;0;0;0
0;71;11;0;0.000000018;0;1;0;0;0;0;0;0
0;72;11;120;0.000000079;1;0;0;0;0;0;0;0
0;72;11;90;0.000000015;1;0;0;0;0;0;0;0
0;72;11;70;0.000000011;1;0;0;0;0;0;0;0
0;72;23;90;0.000000011;1;0;0;0;0;0;0;0
0;72;14;90;0.00000001;1;1;0;0;0;0;0;0
0;72;23;90;0.00000001;0;1;0;0;0;0;0;0
0;72;26;90;0.000000011;1;0;0;0;0;0;0;0
0;72;12;60;0.000000022;1;1;0;0;0;0;0;0
0;74;15;70;0.000000012;1;0;0;0;0;0;0;0
0;74;17;70;0.000000064;0;1;0;0;0;0;0;0
0;73;15;50;0.000000033;0;1;0;0;0;0;0;0
0;80;27;40;0.000000013;0;1;0;0;0;0;0;0
0;73;47;10;0.000000015;1;1;0;0;0;0;0;0
0;74;32;60;0.000000025;1;1;0;0;0;0;0;0
0;74;51;160;0.000000032;1;1;0;0;0;0;0;0
0;79;57;150;0.000000027;1;1;0;0;0;0;0;0
1;85;79;260;0.00000013;1;1;0;0;0;0;0;0
0;81;66;250;0.00000015;1;1;0;0;0;0;0;0
0;76;58;170;0.000000085;1;1;0;0;0;0;0;0
0;77;52;150;0.000000078;1;1;0;0;0;0;0;0
0;78;50;130;0.000000039;1;1;0;0;0;0;0;0
0;80;38;100;0.00000011;1;1;0;0;0;0;0;0
0;78;43;40;0.00000015;1;1;0;0;0;0;0;0
0;77;25;30;0.000000084;0;1;0;0;0;0;0;0
0;76;27;50;0.000000048;0;1;0;0;0;0;0;0
0;75;35;30;0.000000036;1;1;0;0;0;0;0;0
0;73;29;50;0.00000002;1;1;0;0;0;0;0;0
0;77;33;70;0.000000022;0;1;0;0;0;0;0;0
0;77;35;120;0.000000045;0;1;0;0;0;0;0;0
0;75;20;150;0.000000042;1;1;0;0;0;0;0;0
0;74;16;110;0.000000036;0;1;0;0;0;0;0;0
0;74;15;120;0.000000022;0;1;0;0;0;0;0;0
0;74;15;110;0.000000025;0;1;0;0;0;0;0;0
0;75;17;90;0.000000033;0;1;0;0;0;0;0;0
0;73;36;30;0.000000036;0;1;0;0;0;0;0;0
0;73;23;20;0.000000015;1;1;0;0;0;0;0;0
0;72;11;10;0.000000023;1;1;0;0;0;0;0;0
0;71;11;10;0.000000022;1;0;0;0;0;0;0;0
0;70;26;40;0.00000001;1;0;0;0;0;0;0;0
0;70;27;30;0.00000001;0;1;0;0;0;0;0;0
0;71;31;40;0.00000001;1;1;0;0;0;0;0;0
0;71;29;30;0.000000012;0;1;0;0;0;0;0;0
0;72;38;70;0.00000001;1;1;0;0;0;0;0;0
0;70;31;30;0.000000011;1;1;0;0;0;0;0;0
0;71;29;40;0.00000001;1;1;0;0;0;0;0;0
0;70;16;20;0.00000001;0;1;0;0;0;0;0;0
0;70;23;10;0.00000001;0;1;0;0;0;0;0;0
0;68;11;0;0.00000001;1;0;0;0;0;0;0;0
0;70;15;10;0.00000001;1;0;0;0;0;0;0;0
